"locale","skeleton_0","pattern_0","skeleton_1","pattern_1","skeleton_2","pattern_2","skeleton_3","pattern_3","skeleton_4","pattern_4"
"pt-rGQ","MMMMy","MMMM 'de' y","EMMMMdy","ccc, d 'de' MMMM 'de' y","EMMMd","EEE, d/MM","Hm","HH:mm","hm","h:mm a"
"pt-rGW","MMMMy","MMMM 'de' y","EMMMMdy","ccc, d 'de' MMMM 'de' y","EMMMd","EEE, d/MM","Hm","HH:mm","hm","h:mm a"
"pt-rLU","MMMMy","MMMM 'de' y","EMMMMdy","ccc, d 'de' MMMM 'de' y","EMMMd","EEE, d/MM","Hm","HH:mm","hm","h:mm a"
"pt-rMO","MMMMy","MMMM 'de' y","EMMMMdy","ccc, d 'de' MMMM 'de' y","EMMMd","EEE, d/MM","Hm","HH:mm","hm","h:mm a"
"pt-rMZ","MMMMy","MMMM 'de' y","EMMMMdy","ccc, d 'de' MMMM 'de' y","EMMMd","EEE, d/MM","Hm","HH:mm","hm","h:mm a"
"pt-rPT","MMMMy","MMMM 'de' y","EMMMMdy","ccc, d 'de' MMMM 'de' y","EMMMd","EEE, d/MM","Hm","HH:mm","hm","h:mm a"
"pt-rST","MMMMy","MMMM 'de' y","EMMMMdy","ccc, d 'de' MMMM 'de' y","EMMMd","EEE, d/MM","Hm","HH:mm","hm","h:mm a"
"pt-rTL","MMMMy","MMMM 'de' y","EMMMMdy","ccc, d 'de' MMMM 'de' y","EMMMd","EEE, d/MM","Hm","HH:mm","hm","h:mm a"
"qu","MMMMy","y MMMM","EMMMMdy","EEE, d MMMM, y","EMMMd","MMM d, EEE","Hm","HH:mm","hm","h:mm a"
"rm","MMMMy","y MMMM","EMMMMdy","EEE, 'ils' d 'da' MMMM y","EMMMd","EEE d. MMM","Hm","HH:mm","hm","h:mm a"
"rn","MMMMy","y MMMM","EMMMMdy","EEE d MMMM y","EMMMd","EEE d MMM","Hm","HH:mm","hm","h:mm a"
"ro","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"ru","MMMMy","LLLL y 'г'.","EMMMMdy","EEE, d MMMM y 'г'.","EMMMd","ccc, d MMM","Hm","H:mm","hm","h:mm a"
"ru-rUA","MMMMy","LLLL y 'г'.","EMMMMdy","EEE, d MMMM y 'г'.","EMMMd","ccc, d MMM","Hm","HH:mm","hm","h:mm a"
"rw","MMMMy","y MMMM","EMMMMdy","y MMMM d, EEE","EMMMd","MMM d, EEE","Hm","HH:mm","hm","h:mm a"
"se","MMMMy","y MMMM","EMMMMdy","y MMMM d, EEE","EMMMd","MMM d, EEE","Hm","HH:mm","hm","h:mm a"
"sg","MMMMy","MMMM y","EMMMMdy","EEE d MMMM y","EMMMd","EEE d MMM","Hm","HH:mm","hm","h:mm a"
"si","MMMMy","y MMMM","EMMMMdy","y MMMM d, EEE","EMMMd","MMM d EEE","Hm","HH.mm","hm","a h.mm"
"sk","MMMMy","LLLL y","EMMMMdy","EEE, d. MMMM y","EMMMd","EEE d. M.","Hm","H:mm","hm","h:mm a"
"sl","MMMMy","MMMM y","EMMMMdy","EEE, d. MMMM y","EMMMd","EEE, d. MMM","Hm","HH:mm","hm","h:mm a"
"sn","MMMMy","y MMMM","EMMMMdy","y MMMM d, EEE","EMMMd","MMM d, EEE","Hm","HH:mm","hm","h:mm a"
"so","MMMMy","MMMM y","EMMMMdy","EEE, MMMM d, y","EMMMd","EEE, MMM d","Hm","HH:mm","hm","h:mm a"
"sq","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"sr","MMMMy","MMMM y.","EMMMMdy","EEE, d. MMMM y.","EMMMd","EEE d. MMM","Hm","HH:mm","hm","h:mm a"
"sv","MMMMy","MMMM y","EMMMMdy","EEE d MMMM y","EMMMd","EEE d MMM","Hm","HH:mm","hm","h:mm a"
"sw","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"ta","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM, y","EMMMd","MMM d, EEE","Hm","HH:mm","hm","a h:mm"
"te","MMMMy","MMMM y","EMMMMdy","d, MMMM y, EEE","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"th","MMMMy","MMMM G y","EMMMMdy","EEE d MMMM G y","EMMMd","EEE d MMM","Hm","HH:mm น.","hm","h:mm a"
"ti","MMMMy","MMMM y","EMMMMdy","y MMMM d, EEE","EMMMd","MMM d, EEE","Hm","HH:mm","hm","h:mm a"
"to","MMMMy","MMMM y","EMMMMdy","EEE d MMMM y","EMMMd","EEE d MMM","Hm","HH:mm","hm","h:mm a"
"tr","MMMMy","MMMM y","EMMMMdy","d MMMM y EEE","EMMMd","d MMMM EEE","Hm","HH:mm","hm","a h:mm"
"ug","MMMMy","y MMMM","EMMMMdy","y d-MMMM، EEE","EMMMd","d-MMM، EEE","Hm","HH:mm","hm","h:mm a"
"uk","MMMMy","LLLL y","EMMMMdy","EEE, d MMMM y 'р'.","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"ur","MMMMy","MMMM y","EMMMMdy","EEE، d MMMM، y","EMMMd","EEE، d MMM","Hm","HH:mm","hm","h:mm a"
"uz","MMMMy","MMMM, y","EMMMMdy","EEE, d-MMMM, y","EMMMd","EEE, d-MMM","Hm","HH:mm","hm","h:mm a"
"uz-rAF","MMMMy","G y MMMM","EMMMMdy","y MMMM d, EEE","EMMMd","MMM d, EEE","Hm","HH:mm","hm","h:mm a"
"uz-rUZ","MMMMy","MMMM, y","EMMMMdy","EEE, d-MMMM, y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"vi","MMMMy","MMMM 'năm' y","EMMMMdy","EEE, d MMMM, y","EMMMd","EEE, d MMM","Hm","H:mm","hm","h:mm a"
"yo","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, MMM d","Hm","HH:mm","hm","h:mm a"
"zh","MMMMy","y年M月","EMMMMdy","y年M月d日EEE","EMMMd","M月d日EEE","Hm","HH:mm","hm","ah:mm"
"zh-rTW","MMMMy","y年M月","EMMMMdy","y年M月d日 EEE","EMMMd","M月d日 EEE","Hm","HH:mm","hm","ah:mm"
"zu","MMMMy","MMMM y","EMMMMdy","EEE, MMMM d, y","EMMMd","EEE, MMM d","Hm","HH:mm","hm","h:mm a"
